name ,code,live_in_no,work_in_no,self_emp_total
Afghanistan,AFG,1,1,1
Algeria,DZA,1,1,1
Argentina,ARG,3,2,1
Australia,AUS,17,17,5
Austria,AUT,3,3,2
Bangladesh,BGD,1,1,1
Belarus,BLR,1,0,1
Belgium,BEL,4,4,3
Brazil,BRA,24,23,6
Bulgaria,BGR,2,2,0
Cameroon,CMR,1,1,1
Canada,CAN,45,45,18
Chile,CHL,1,0,0
Colombia,COL,3,3,1
Croatia,HRV,1,1,0
Czech Republic,CZE,2,1,1
Egypt,EGY,1,1,0
Ethiopia,ETH,1,1,0
Finland,FIN,2,3,0
France,FRA,20,18,2
Georgia,GEO,1,1,1
Germany,DEU,29,30,5
Greece,GRC,2,1,1
Hong Kong,HKG,1,1,0
Hungary,HUN,1,1,0
Iceland,ISL,1,1,0
India,IND,43,41,6
Indonesia,IDN,2,2,1
Ireland,IRL,9,9,0
Israel,ISR,2,2,3
Italy,ITA,6,6,2
Japan,JPN,5,4,1
Kenya,KEN,1,1,1
Latvia,LVA,1,1,1
Luxembourg,LUX,0,1,0
Macedonia,MKD,1,1,0
Mauritius,MUS,1,1,0
Mexico,MEX,5,6,1
Mongolia,MNG,2,2,1
Netherlands,NLD,24,24,4
New Zealand,NZL,7,6,1
Norway,NOR,7,7,1
Pakistan,PAK,4,4,2
Philippines,PHL,3,3,0
Poland,POL,8,7,2
Portugal,PRT,13,13,1
Romania,ROU,3,3,0
Russia,RUS,4,4,2
Serbia,SRB,3,3,1
Singapore,SGP,1,1,0
South Africa,ZAF,6,6,1
Spain,ESP,22,22,4
Sri Lanka,LKA,1,1,0
Sweden,SWE,3,3,1
Switzerland,CHE,8,9,1
Taiwan,TWN,1,1,0
Turkey,TUR,7,7,2
Ukraine,UKR,3,2,1
United Kingdom,GBR,97,96,21
United States of America,USA,818,827,78
Uruguay,URY,1,1,0
